,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,midrich_jobs,selected_centers
925,3005,304292.122757,0,3005.0,1458.53,1066.47,2132.79,301.745,21.810307319026172,False
926,3006,403826.707511,0,3006.0,1137.96,158.458,2187.71,409.521,17.961429556845083,False
927,3007,669587.975593,0,3007.0,2147.4,1881.28,2931.25,382.211,44.903573892112696,True
928,3008,228951.943849,0,3008.0,934.02,219.078,1158.45,221.01,52.601329416474876,False
929,3009,349016.900227,0,3009.0,305.34,0.0,378.244,0.0,0.0,False
930,3010,707831.787448,0,3010.0,1888.6,2596.06,2293.03,730.837,70.56275897331996,True
931,3011,358262.342785,0,3011.0,1395.77,437.779,2402.64,532.649,17.961429556845083,False
932,3012,1101869.36552,0,3012.0,3658.68,1934.17,5225.33,863.747,236.0645027471068,True
933,3013,428978.489973,0,3013.0,601.624,18.8612,723.324,18.9373,6.414796270301815,False
934,3014,788929.224237,0,3014.0,3683.36,108.655,4113.13,1162.68,30.79102209744871,False
935,3015,335728.510832,0,3015.0,462.405,732.658,732.138,162.595,271.98736186079697,False
936,3016,1665159.22657,0,3016.0,314.369,2378.77,4632.77,4445.16,504.20298684572265,True
937,3017,308431.42479,0,3017.0,920.984,10.6855,1380.5,13.6039,2.565918508120726,False
938,3018,403019.974511,0,3018.0,736.957,0.0,1176.89,2.8423,0.0,False
939,3029,344864.670278,0,3029.0,327.704,4.99958,745.629,9.85116,1.282959254060363,False
940,3030,375689.164545,0,3030.0,383.488,19.7973,490.742,19.9954,3.848877762181089,False
941,3031,180593.522768,0,3031.0,691.986,403.32,917.441,256.656,14.112551794663991,False
942,3032,298441.787254,0,3032.0,1219.13,0.0,1393.55,0.0,0.0,False
943,3033,265575.592887,0,3033.0,2257.29,16.8106,2041.92,459.494,3.848877762181089,False
944,3034,573670.116391,0,3034.0,0.0,0.0,0.0,0.0,0.0,False
945,3035,358319.29304,0,3035.0,1335.23,50.4684,1408.09,367.502,10.263674032482903,False
946,3036,560929.293469,0,3036.0,1781.89,1036.65,2668.28,522.99,16.678470302784717,False
947,3037,193968.467152,0,3037.0,489.213,772.462,643.724,185.661,11.546633286543265,False
948,3038,174662.310241,0,3038.0,204.796,588.047,265.41,134.77,11.546633286543265,False
949,3039,207038.665744,0,3039.0,679.787,317.159,879.08,273.558,15.395511048724355,False
950,3040,306527.334249,0,3040.0,1026.19,1311.8,1823.46,482.094,14.112551794663991,False
951,3041,245245.675256,0,3041.0,863.581,24.8463,1743.6,198.413,7.697755524362178,False
952,3042,264310.467421,0,3042.0,1263.94,750.1,2163.87,368.999,17.961429556845083,False
953,3043,334610.172531,0,3043.0,1350.42,58.8953,1924.61,344.002,16.678470302784717,False
