,flood_depth
393,0.230330537866663
394,0.310786103251313
395,0.0
396,0.0
397,0.0
398,0.0668273527763503
399,0.0
400,0.00696159811580882
401,0.0986722227038397
402,0.0668206119730461
403,0.0147427898526531
404,0.0633449907656069
405,0.201244908520299
406,0.0210829134340639
407,0.0999462855847133
408,0.0239517070628979
409,0.0
410,0.0
411,0.0
412,0.00854247193236451
413,0.0307307624487852
414,0.0308065039479834
415,0.041921646506698
416,0.0
417,0.0
418,0.0138503658805478
419,0.390578073483926
420,0.0
421,0.419987184030038
422,0.282246279376864
423,0.00755006839067508
424,0.512333278302793
425,2.28222955557016
426,0.0433150684392011
427,0.0267203567374466
428,0.0192504591412014
429,0.0491150293594752
430,0.0
431,0.136794861361512
432,0.00183152710949933
433,0.0112236435936387
434,0.0144898938996839
435,0.0147514873080783
436,0.0025280031383547
437,0.193650711465765
438,0.00915832736892917
439,0.0
440,0.22957117672999
441,0.102395101829811
442,0.0364888422169916
443,0.0818173002313685
444,0.0609194415926594
445,0.0117182076985257
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0121697319878472
456,0.00015817826335801
457,0.0730659709835407
458,0.000702433843539123
459,0.00337050797103287
460,0.192432273812845
461,0.00189910332361857
462,0.0074080312353933
463,0.0418258476312117
464,0.0368071677784834
465,0.0493482422314102
466,0.0474441571792646
467,0.195105131918578
468,0.439906745121397
469,0.0684825990469771
470,0.235285115489498
471,1.03487239522472
472,1.99480165848112
473,0.167875662692252
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0125673835120433
479,0.0
480,0.0172430861497355
481,0.0140788170953895
482,0.0231153546481278
483,0.0847776112733064
484,0.0
485,0.000245197815928118
486,0.000963818705673759
487,0.0
488,0.0
489,0.0
490,0.00208834430915627
491,0.000394127188885512
492,0.0
493,0.0752304586638282
494,0.0462416631204111
495,0.0
496,0.0560892158084446
497,0.120967385995442
498,0.123373067978143
499,0.0759126780784293
500,0.279027962417361
501,0.00458527045556613
502,0.0700576996032872
503,0.00896566681849506
504,0.0325574260831219
505,0.0409976614241447
506,0.109903131559466
507,0.0423830173633717
508,0.0321737523092504
509,0.0361201255160903
510,0.0
511,0.00398086994835045
512,0.00394269960735916
513,0.0442533569335938
514,0.00334602439603019
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.030839840818105
522,0.0782216916139098
523,0.00259924673582724
524,0.0
525,0.00468767987824148
526,0.289273974439737
527,0.0
528,0.0
529,0.0
530,0.0
531,0.685680625615297
532,1.24461464080376
533,0.00642443906493656
534,0.0
535,0.0111249179242343
536,0.047744733315927
537,0.00246631589710203
538,0.0289573581130416
539,0.0035629402877938
540,0.0222516540281376
541,0.0108777168911144
542,0.100164263336747
543,0.0213521321614583
544,0.107187420274903
545,0.0
546,0.572306488993501
547,0.0319854418436686
548,0.0
549,0.321222831273669
550,0.422508364115088
551,0.466537298979583
552,0.149276716009504
553,0.0461904649381284
554,0.00594911928530093
555,0.0795112170291777
556,0.292592616439555
557,0.0329263801248665
558,0.00194046232435438
559,0.0
560,0.0
561,0.00154065949964387
562,0.00915630543289553
563,0.0
564,0.0037165609241704
565,0.0131250901260289
566,0.0513971095071559
567,0.116706241060186
568,0.0253713124158376
569,0.000915262434217665
570,0.0215967792391437
571,0.276061311916069
572,0.600061569865952
573,1.18268143689191
574,0.00892513090389067
575,0.0
576,0.000107851796080546
577,1.28234804376238
578,1.17503872844908
579,1.2485021390127
580,0.142479128307766
581,0.0298246052190449
582,0.0141030483775669
583,0.0274899778882323
584,0.0870316690868802
585,0.0124894710008235
586,0.0
587,0.0
588,0.00702393795350338
589,0.069765653875139
590,0.213312904379646
591,0.0
592,0.043440664968183
593,0.19031599715904
594,0.100294572879107
595,0.00920886463589139
596,0.0221410593755564
597,0.0423098485354345
598,0.0298040884512442
599,0.00531144970842237
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,5.97003914015905e-05
607,0.0498768183935051
608,0.0
609,0.0184097203415225
610,0.000830812627819362
611,0.396051781809228
612,0.605030935570615
613,0.692961253489165
614,0.468353097440185
615,0.49865327438398
616,0.562076802983422
617,0.523783363698717
618,0.506060025031374
619,0.816946440146932
620,0.0910930155621574
621,0.0
622,0.00510453444260817
623,0.375982880971664
624,0.892462564210576
625,0.58194687813091
626,0.00427333386593607
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0439734210245084
636,0.00508825240596648
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0299628540950558
646,0.0
647,0.00989219610639613
648,0.0995846220473938
649,0.0614236326076607
650,0.0742805166818414
651,0.0534368227010439
652,0.341014972439519
653,0.00835002081888823
654,0.0718884512230202
655,0.0138703131607795
656,0.0404135948106225
657,0.105349077373777
658,0.0282353261735582
659,0.0174994360596754
660,0.0709654951286207
661,0.0442838294401455
662,0.00261975304555085
663,0.0425113748621058
664,0.0
665,0.0011439323425293
666,0.00388863501046118
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0135546735888533
674,0.117280306639495
675,0.283518212473291
676,0.013969341913859
677,0.0
678,0.17973135599911
679,0.324623112283555
680,0.676639282696599
681,2.16300290940125
682,2.27078842641282
683,2.14995262137166
684,0.385435098438301
685,0.0
686,0.0
687,0.0
688,0.023838190141316
689,0.0
690,0.000881712706622731
691,0.00633225420630334
692,0.000310665808154269
693,0.0625337606142049
694,0.0332587030198839
