,structure_subsidized_1
501,4.540243276585382e-06
502,0.0006313492683477681
503,1.2684880569333334e-05
504,0.0001384318253507938
505,0.00019177429630834664
506,0.0015331092771040198
507,0.00015302602008116284
508,0.00011501311979242411
509,0.00017454939129336641
510,0.0
511,3.6538373916869067e-06
512,4.7736702322729176e-06
513,0.0003709093167438947
514,1.099148190958254e-06
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0001263654032132085
522,0.0006426300087563423
523,7.196947132699552e-07
524,0.0
525,5.205994532851477e-06
526,0.002591304654766195
527,0.0
528,0.0
529,0.0
530,0.0
531,0.006169721933790527
532,0.012794546773284222
533,6.057745091523472e-07
534,0.0
535,8.825366841034501e-06
536,0.00022279041335088916
537,8.972288334352538e-07
538,0.0001737782226317568
539,2.3420186356218367e-06
540,5.806754658111711e-05
541,2.021757492863041e-05
542,0.00036501943137579723
543,1.671611928845766e-05
544,0.0004738963199884057
545,0.0
546,0.02263846607685225
547,9.682174968636693e-05
548,0.0
549,0.0016196003499971778
550,0.0036036720579368056
551,0.00447358857856039
552,0.0011908818429896774
553,9.632142620339207e-05
554,5.030204259071553e-06
555,0.00018143985639030636
556,0.002794847042110839
557,0.00012697484789510235
558,1.434622026697162e-06
559,0.0
560,0.0
561,3.3379306436568463e-07
562,1.854641951750421e-05
563,0.0
564,1.5914250142424952e-06
565,1.2599382851297249e-05
566,0.0003717864073001887
567,0.001020957910123672
568,2.581569188083719e-05
569,2.7794482473456104e-07
570,5.5497452259066e-05
571,0.0010117519696956252
572,0.054529191402339194
573,0.18363366614187596
574,1.0275883063988577e-05
575,0.0
576,3.04617797059027e-06
577,0.136124908827278
578,0.099626373443453
579,0.11399148087324165
580,0.0016912491860117697
581,8.055274764726021e-05
582,2.6514624535503402e-05
583,4.318846493599165e-05
584,0.0004543448149190927
585,1.3928651158665246e-05
586,0.0
587,0.0
588,6.708549505225461e-06
589,0.0005337607609280724
590,0.001760927068705772
591,0.0
592,0.00012548895847121303
593,0.0018069576312763856
594,0.0014396113855082748
595,1.7633794144334252e-05
596,9.308121725315829e-05
597,0.00029346727270091437
598,0.0001379795426345603
599,6.302356197982749e-06
600,1.315786192814513e-08
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,9.626284681388583e-10
607,0.0004062117302861914
608,0.0
609,5.953428975354112e-05
610,0.00044731818688218143
611,0.012216541201387227
612,0.008488227852960512
613,0.04400577171815186
614,0.023746920800491084
615,0.026005575864149373
616,0.06835604641164178
617,0.04525148833011346
618,0.02524785182933981
619,0.021188447624617822
620,0.00367052973430688
621,0.0
622,2.345628812798604e-06
623,0.008486255901258101
624,0.05058390864868687
625,0.010280672543669404
626,5.090556563625117e-06
627,5.5962923838854324e-06
