,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,jobs_total,selected_centers
294,1504,463322.518915,0,1504.0,1134.45,150.553,1368.82,151.673,129.49983233469544,False
295,1505,1210032.21385,0,1505.0,85.3335,1358.19,136.4,1344.89,984.5674047217835,False
296,1506,576990.92548,0,1506.0,212.747,205.433,392.603,444.262,143.936429994654,False
297,1507,305295.623778,0,1507.0,657.778,95.0504,748.489,95.7283,70.71679003002282,False
298,1508,1462160.43913,0,1508.0,331.293,3101.91,476.079,1256.89,2351.3253996614326,True
299,1509,412550.828513,0,1509.0,379.092,1213.13,517.216,657.894,1412.0421670581932,False
300,1510,525787.889648,0,1510.0,1225.7,44.4408,1475.17,49.2828,38.567663777950685,False
301,1511,1536337.38546,0,1511.0,79.6918,1763.89,2610.57,3779.78,1070.0777259631748,True
302,1512,856154.755803,0,1512.0,271.204,436.691,421.657,415.471,309.7704859036002,False
303,1513,689194.409275,0,1513.0,227.139,715.19,287.676,254.654,616.8840656484693,False
304,1514,210729.435839,0,1514.0,509.943,32.7075,604.025,32.9441,26.843538994927588,False
305,1515,312743.123261,0,1515.0,192.162,1542.02,264.635,506.315,1340.6979797644083,False
306,3019,559258.110766,0,3019.0,1687.35,16.5052,2389.32,577.395,14.564890756486902,False
307,3020,375610.598946,0,3020.0,1874.41,17.272,2212.09,555.48,15.947504429441766,False
308,3021,354950.097269,0,3021.0,2236.04,27.5788,3263.27,467.417,22.14127433514674,False
309,3022,697859.18922,0,3022.0,1153.09,4.57059,1119.48,249.227,4.259865677299467,False
310,3023,520087.862682,0,3023.0,2331.79,355.852,2575.39,679.665,285.7138694896988,False
311,3024,2579754.77622,0,3024.0,0.0,0.0,0.0,480.981,0.0,False
312,3025,352498.330987,0,3025.0,1349.56,476.825,1701.36,602.016,388.627734103161,False
313,3026,422514.4219,0,3026.0,1593.07,889.172,2062.56,657.121,559.4227986093894,False
314,3027,875512.288597,0,3027.0,2149.16,52.215,2002.74,434.981,42.37543177286791,False
315,3028,347895.47757,0,3028.0,1178.96,0.0,1769.42,743.719,0.0,False
316,3526,1092903.15749,0,3526.0,319.405,35.2926,400.489,36.3804,29.128139078425647,False
317,3527,1108627.88892,0,3527.0,428.391,1368.65,567.254,1800.2,1048.776115207388,False
318,3528,1054997.13229,0,3528.0,833.847,289.78,835.064,696.877,428.61302018463545,False
319,3529,2750834.19506,0,3529.0,671.799,908.442,782.222,494.076,1022.7709115486452,False
320,3530,4177924.49636,0,3530.0,247.751,759.491,460.643,789.968,520.0897778398999,False
321,3531,1864192.20776,0,3531.0,779.855,174.314,844.313,527.502,136.40534970556163,False
322,3532,1727649.35786,0,3532.0,665.999,693.584,855.86,683.339,502.87097742031045,False
323,3533,687668.300311,0,3533.0,894.792,146.175,1309.57,140.537,115.59199062116285,False
324,3534,264045.789335,0,3534.0,95.4568,958.914,127.667,881.896,548.9284634229002,False
325,3535,2302522.13123,0,3535.0,119.82,3525.62,146.624,4305.15,2182.7316108390514,True
326,3536,3732467.31589,0,3536.0,0.0,270.8,0.0,272.51,150.53631248096224,False
327,3537,4124669.62443,0,3537.0,0.0,0.0,0.0,0.0,0.0,False
328,3538,3139699.46805,0,3538.0,28.5023,0.0,32.7403,0.0,0.0,False
329,3539,943650.922873,0,3539.0,946.997,162.679,1444.58,281.818,116.19510946576649,False
330,3540,425080.119086,0,3540.0,311.639,141.646,414.05,128.136,101.6604946621159,False
331,3541,754218.927396,0,3541.0,425.277,70.399,470.13,818.379,64.44106766595924,False
332,3638,175207.057641,0,3638.0,2994.03,0.0,2472.93,712.207,0.0,False
333,3639,185129.974367,0,3639.0,1410.34,1514.93,1695.6,596.686,776.1763165766696,False
334,3640,369587.259844,0,3640.0,2417.26,297.854,2376.28,597.927,249.42032028668712,False
335,3641,475380.51964,0,3641.0,3042.73,0.0,3841.75,436.145,0.0,False
336,3642,245728.984057,0,3642.0,223.011,631.277,290.903,176.998,299.46570455470635,False
337,3643,335346.176674,0,3643.0,0.0,6.0485,0.0,547.308,8.267052643198415,False
338,3644,371436.847154,0,3644.0,955.064,184.038,1215.63,185.715,137.1165399301489,False
339,3645,237520.162101,0,3645.0,2505.78,563.815,3184.53,383.875,302.68045582787903,False
340,3646,61075.7135113,0,3646.0,752.701,552.248,960.29,77.6498,216.8127644296392,False
341,3647,149765.8038,0,3647.0,658.504,0.0,784.007,0.0,0.0,False
